id,source,title,publication_date,section,page,length,byline,ent_countries,ent_places,ent_places_fr,ent_places_nl,ent_places_uk,n_entities,n_sentences,n_stopwords,n_tokens,n_unique_entities,n_words,pos_adj,pos_adp,pos_adv,pos_conj,pos_det,pos_noun,pos_num,pos_pron,pos_propn,pos_punct,pos_space,pos_verb,pos_x,unique_ent_countries,unique_ent_places,unique_ent_places_fr,unique_ent_places_nl,unique_ent_places_uk
teleg_0139,Telegraaf,Zorgen om hogere Britse inflatie,2017-03-17,financieel,25,227,Van een onzer verslaggevers,,,,1,,1,13,121,267,1,146,15,35,19,12,40,56,9,7,,21,17,32,4,,,,1,
teleg_0140,Telegraaf,Eerste onderonsje,2017-03-18,buitenland,17,364,Herman Stam,4,1,,,1,6,19,187,417,4,230,19,54,31,23,30,85,4,30,15,25,34,64,3,2,1,,,1
teleg_0141,Telegraaf,Opluchting,2017-03-18,buitenland,17,462,,3,1,,,,4,37,238,556,3,318,34,53,47,26,51,120,3,48,16,51,37,68,2,2,1,,,
teleg_0142,Telegraaf,New European houdt vinger aan de Brexit-pols,2017-03-18,buitenland,19,587,Joost van Mierlo,,2,,,,2,54,294,702,2,408,52,66,47,28,67,138,25,46,13,67,42,98,13,,2,,,
teleg_0143,Telegraaf,Het Cannes weer!,2017-03-18,journaal,35,817,,2,6,,2,,10,46,393,995,7,602,50,108,76,31,66,216,6,66,38,135,76,122,5,2,3,,2,
teleg_0144,Telegraaf,Rutte III,2017-03-18,financieel,38,479,Jaap van Duijn,8,,,1,,9,27,245,561,7,316,35,58,47,23,60,114,9,27,5,57,35,90,1,6,,,1,
teleg_0145,Telegraaf,Hoge opkomst met Guinness,2017-03-20,journaal,19,485,,9,2,,4,,15,39,220,584,11,364,43,56,20,22,50,151,10,38,24,52,48,69,1,6,2,,3,
teleg_0146,Telegraaf,Historisch,2017-03-21,binnenland,3,219,,1,2,,,,3,14,110,241,2,131,22,21,13,10,33,49,2,16,3,20,17,32,3,1,1,,,
teleg_0147,Telegraaf,May strooit met presentjes aan vooravond Brexit,2017-03-21,buitenland,18,302,Van onze correspondent,11,,,,1,12,17,142,340,6,198,14,44,10,16,36,81,9,20,8,31,27,41,3,5,,,,1
teleg_0148,Telegraaf,Kleine fondsen in vizier beleggers,2017-03-21,financieel,22,304,Theo Besteman,1,1,,2,2,6,22,115,334,4,219,25,37,21,14,23,83,11,12,6,35,25,41,1,1,1,,1,1
teleg_0149,Telegraaf,Britten voelen lage pond,2017-03-22,financieel,22,679,Dorinde Meuzelaar,8,1,,1,1,11,52,329,784,8,455,43,86,57,35,83,188,30,33,8,72,53,96,,5,1,,1,1
teleg_0150,Telegraaf,’Behoud vrijhandel zo veel mogelijk’,2017-03-22,financieel,23,442,,10,1,,,,11,33,198,497,5,299,29,56,17,11,56,122,17,20,10,44,43,68,4,4,1,,,
teleg_0151,Telegraaf,’Zorgen voor EU-burgers heeft prioriteit bij Brexit’,2017-03-23,buitenland,18,135,,2,1,,,,3,8,60,154,3,94,12,22,7,3,21,36,6,3,1,17,9,16,1,2,1,,,
teleg_0152,Telegraaf,Easyjet sluit Nederland niet uit,2017-03-23,financieel,21,258,Yteke de Jong,4,,,1,,5,16,108,272,4,164,23,35,13,8,31,64,1,8,5,21,19,42,2,3,,,1,
teleg_0153,Telegraaf,’Verlamming dreigt in Europa’,2017-03-25,financieel,38,1290,,27,4,,,,31,137,717,1590,12,873,84,139,149,82,119,318,17,157,19,159,111,224,12,10,2,,,
teleg_0154,Telegraaf,5 scenario’s: welke kant gaat het op met Europese Unie?,2017-03-25,financieel,39,529,Ruud Mikkers,8,2,,,,10,43,252,605,8,353,39,48,50,27,57,123,14,34,4,59,47,94,9,6,2,,,
teleg_0155,Telegraaf,Hoe de Brexit ons zal raken,2017-03-27,binnenland,10,1017,,22,4,,,3,29,69,524,1201,9,677,87,119,95,64,108,248,25,74,20,114,79,163,5,7,1,,,1
teleg_0156,Telegraaf,’Waarom ben je nog niet opgedonderd?’,2017-03-27,binnenland,11,485,Van onze correspondent,10,,,,4,14,52,260,582,5,322,36,54,46,28,38,126,6,56,10,52,38,90,2,4,,,,1
teleg_0157,Telegraaf,Na het EU-feestje volgt de Brexit-kater,2017-03-27,buitenland,12,324,,,3,,,,3,24,171,374,1,203,25,28,35,24,34,76,7,21,4,28,26,65,1,,1,,,
teleg_0158,Telegraaf,Ukip verliest enige Lagerhuislid,2017-03-27,buitenland,13,322,Van onze correspondent,1,,,,,1,18,148,339,1,191,16,41,20,12,38,78,,25,6,30,24,46,3,1,,,,
teleg_0159,Telegraaf,Flirt met Turken,2017-03-29,buitenland,18,481,Ruud Mikkers,15,4,,,1,20,31,223,545,8,322,33,65,34,20,57,138,5,22,10,49,36,74,2,5,2,,,1
teleg_0160,Telegraaf,Messen worden geslepen,2017-03-29,buitenland,18,408,,,2,,,,2,24,204,461,1,257,36,54,39,10,59,91,8,24,9,34,34,57,6,,1,,,
teleg_0161,Telegraaf,Verdeeld op pad,2017-03-30,buitenland,18,525,Joost van Mierlo,4,1,,,1,6,24,247,590,6,343,34,77,32,28,62,127,4,32,12,57,41,75,9,4,1,,,1
teleg_0162,Telegraaf,Europa houdt front gesloten,2017-03-30,buitenland,19,475,Ruud Mikkers,8,1,,,,9,32,242,567,8,325,39,52,45,27,60,118,15,31,3,48,38,86,5,7,1,,,
teleg_0163,Telegraaf,Nee tegen beurzenfusie,2017-03-30,financieel,21,689,Edwin van der Schoot,,2,,1,1,4,31,316,756,4,440,35,88,50,40,67,181,14,39,12,62,56,109,3,,2,,1,1
teleg_0164,Telegraaf,Brexit maakt reep duurder,2017-03-30,financieel,21,55,,,,,1,,1,4,26,62,1,36,3,7,4,2,6,16,2,3,,6,5,8,,,,,1,
teleg_0165,Telegraaf,’Brexit gaat banen kosten’,2017-03-30,financieel,23,118,,3,,,,,3,6,52,135,1,83,9,14,9,10,13,38,1,4,2,13,10,12,,1,,,,
teleg_0167,Telegraaf,’Geef de kreeft de ruimte’,2017-03-31,journaal,20,535,,1,2,,2,,5,31,249,614,4,365,23,74,26,20,63,151,5,36,22,50,52,86,6,1,1,,2,
teleg_0168,Telegraaf,Koffie in Londen,2017-03-31,financieel,22,448,,8,3,,,2,13,22,223,526,9,303,27,70,34,25,67,131,16,16,13,39,33,53,2,6,2,,,1
teleg_0169,Telegraaf,Tussen de regels door lezen,2017-04-01,buitenland,16,317,Joost van Mierlo,1,,,,,1,13,176,364,1,188,19,40,28,19,38,71,2,28,6,30,24,57,2,1,,,,
teleg_0170,Telegraaf,Middelvinger,2017-04-01,buitenland,17,458,Frank van Vliet,6,1,,,,7,23,213,510,4,297,38,57,32,23,50,114,3,36,12,47,32,64,2,3,1,,,
teleg_0171,Telegraaf,Prooien geven AEX winst,2017-04-01,financieel,37,517,Theo Besteman,2,,,2,,4,35,196,592,3,396,37,64,28,18,46,162,21,28,16,64,43,65,,2,,,1,
teleg_0172,Telegraaf,’Spanje speelt eerste viool’,2017-04-03,buitenland,12,224,Van onze correspondent,13,2,,,,15,14,101,262,5,161,17,25,16,10,29,70,3,10,6,29,18,28,1,3,2,,,
teleg_0173,Telegraaf,’Oorlog’ om Brexit,2017-04-03,buitenland,12,610,Joost van Mierlo,15,3,,1,3,22,35,285,678,7,393,33,79,39,25,80,163,12,36,25,51,51,79,5,4,1,,1,1
teleg_0175,Telegraaf,Exporteurs zijn vrolijk,2017-04-04,financieel,21,103,,2,,,1,,3,6,48,122,3,74,7,16,4,7,10,30,8,6,,12,9,13,,2,,,1,
teleg_0176,Telegraaf,Gibraltar,2017-04-04,financieel,22,471,,14,1,,1,,16,27,218,504,10,286,46,60,32,19,57,109,7,30,11,34,34,58,7,8,1,,1,
teleg_0177,Telegraaf,Alleen kopzorgen over files,2017-04-06,binnenland,13,687,,20,,,,,20,68,365,848,3,483,60,68,87,32,66,178,15,59,13,78,53,131,8,3,,,,
teleg_0178,Telegraaf,Dubbel paspoort ter discussie,2017-04-07,financieel,22,293,,1,,,2,3,6,12,140,321,3,181,15,46,17,14,32,71,14,13,6,25,21,41,6,1,,,1,1
teleg_0179,Telegraaf,Unilever-dip,2017-04-07,financieel,25,71,,,,,,,,5,29,80,0,51,5,9,6,,6,20,4,4,1,10,5,10,,,,,,
teleg_0180,Telegraaf,Laat de formatie maar lang duren,2017-04-08,binnenland,11,849,Hans Wiegel,3,,,,,3,61,491,1012,3,521,48,91,109,53,95,181,17,69,11,96,62,170,10,3,,,,
teleg_0181,Telegraaf,Klap voor Damrak dreigt,2017-04-08,financieel,37,598,Theo Besteman,3,,,7,3,13,41,241,698,4,457,28,65,34,27,51,188,27,28,26,87,49,87,1,1,,,2,1
teleg_0182,Telegraaf,BoE vraagt naar Brexitplannen,2017-04-08,financieel,41,67,,1,,,,1,2,3,36,79,2,43,5,12,2,5,5,18,,7,3,6,6,10,,1,,,,1
teleg_0183,Telegraaf,Moestuin,2017-04-11,buitenland,19,334,Joost van Mierlo,1,,,,,1,25,169,386,1,217,21,44,29,6,37,75,6,35,10,40,25,54,4,1,,,,
teleg_0184,Telegraaf,Verdwijntruc van Tommy Cooper,2017-04-15,lifestyle,25,552,Joost van Mierlo,1,3,,,2,6,44,256,633,5,377,42,61,47,24,59,135,4,49,16,64,39,90,3,1,3,,,1
teleg_0186,Telegraaf,May neemt de gok,2017-04-19,buitenland,16,495,Joost van Mierlo,,,,,1,1,25,221,527,1,306,34,67,28,21,67,119,9,25,6,42,38,70,1,,,,,1
teleg_0187,Telegraaf,Brexit revisited,2017-04-19,financieel,25,136,,,,,,,,10,42,154,0,112,13,17,4,1,16,42,4,3,4,23,10,16,1,,,,,
teleg_0189,Telegraaf,Op zoek naar mandaat,2017-04-20,buitenland,18,557,Joost van Mierlo,2,,,,1,3,36,268,608,3,340,42,68,38,24,59,120,8,48,12,52,44,87,6,2,,,,1
teleg_0190,Telegraaf,Britten al op zijspoor,2017-04-21,financieel,21,682,,13,2,,2,3,20,30,298,722,10,424,50,76,48,33,72,160,17,33,12,56,54,105,6,6,1,,2,1
teleg_0191,Telegraaf,Treurspel,2017-04-22,buitenland,17,457,Frank van Vliet,4,8,,,,12,24,215,522,4,307,42,53,34,31,53,111,8,25,23,43,33,61,5,2,2,,,
teleg_0192,Telegraaf,Gedragsstudie helpt mix,2017-04-22,financieel,45,250,Johan Wiering,1,,,1,,2,21,112,278,2,166,24,29,22,13,26,57,6,11,5,21,21,36,7,1,,,1,
teleg_0193,Telegraaf,Nagelbijten voor de EU,2017-04-24,binnenland,3,398,Ruud Mikkers,8,6,,,,14,19,196,454,5,258,29,53,34,17,48,97,12,12,12,35,33,69,3,4,1,,,
teleg_0194,Telegraaf,Binnenhof huivert voor einde Europa,2017-04-24,binnenland,3,259,Van onze parlementaire redactie,3,,,2,,5,21,131,325,2,194,18,27,19,16,25,91,4,21,14,27,19,44,,1,,,1,
teleg_0195,Telegraaf,Demissionaire PvdA voert vast oppositie,2017-04-25,binnenland,11,857,,1,,,1,,2,46,444,979,2,535,43,111,81,43,111,222,8,51,15,77,65,150,2,1,,,1,
teleg_0196,Telegraaf,Tony Blair luis in pels van eigen partij,2017-04-25,buitenland,17,367,Joost van Mierlo,1,,,,,1,24,167,419,1,252,36,46,33,10,33,88,3,31,9,37,29,58,6,1,,,,
teleg_0197,Telegraaf,Hup Holland,2017-04-25,financieel,22,494,,4,,,2,1,7,20,250,541,5,291,43,59,41,37,48,104,2,47,10,41,40,63,6,2,,,2,1
teleg_0198,Telegraaf,’Randstad verdient betere waardering’,2017-04-26,financieel,24,573,Martijn Klerks,3,,,1,,4,41,249,680,4,431,35,62,44,21,60,169,30,35,22,69,47,81,5,3,,,1,
teleg_0199,Telegraaf,Flinke blunder EU met miljoenenhuur,2017-04-27,binnenland,6,337,Ruud Mikkers,4,4,,,4,12,21,135,368,5,233,18,44,16,14,42,85,14,15,6,34,27,51,2,2,1,,,2
teleg_0200,Telegraaf,’Agentschappen in ruil voor Straatsburg’,2017-04-28,buitenland,17,278,Ruud Mikkers,5,7,,,2,14,15,137,313,6,176,17,42,22,14,31,59,11,13,2,28,22,39,13,3,2,,,1
teleg_0201,Telegraaf,’Geen illusies over Brexit’,2017-04-28,advertentie,18,312,Van onze,6,2,,,1,9,12,161,360,6,199,23,43,18,15,35,82,5,25,4,32,27,49,2,3,2,,,1
teleg_0202,Telegraaf,"Deutsche, Nordea: Brexit en Zwexit",2017-04-28,financieel,21,266,Ruben Eg,6,,,,,6,11,116,291,5,175,14,43,17,8,27,74,14,12,14,20,20,28,,5,,,,
teleg_0203,Telegraaf,Hoog spel van Schiphol,2017-04-28,financieel,24,350,,2,3,,,,5,20,147,383,5,236,33,52,18,16,33,87,8,15,4,31,27,54,5,2,3,,,
teleg_0204,Telegraaf,Brussel versus Groot-Brittannië,2017-04-29,binnenland,11,857,Hans Wiegel,32,3,,1,,36,66,419,1004,10,585,66,108,73,31,105,231,11,55,30,99,59,126,10,8,1,,1,
teleg_0205,Telegraaf,Bitter gevecht,2017-04-29,buitenland,16,491,Ruud Mikkers,18,4,,,1,23,26,224,549,11,325,35,63,35,25,59,119,13,16,8,53,40,76,7,9,1,,,1
teleg_0206,Telegraaf,’Goede beursprijs voor VolkerWessels’,2017-04-29,financieel,41,411,Yteke de Jong,1,,,2,,3,26,173,445,2,272,26,47,17,26,48,102,16,10,7,39,39,62,6,1,,,1,
teleg_0207,Telegraaf,"EU eensgezind over Brexit, de vraag is hoe lang?",2017-05-01,buitenland,13,345,Ruud Mikkers,13,2,,,,15,23,168,397,11,229,20,42,23,15,44,90,7,24,3,41,29,57,2,10,1,,,
teleg_0208,Telegraaf,Hard tegen hard,2017-05-04,buitenland,16,501,Joost van Mierlo,6,7,,,4,17,29,242,591,5,349,30,61,43,30,55,139,18,26,11,49,45,77,7,3,1,,,1
teleg_0209,Telegraaf,Britse tabloids bepalen verkiezingsretoriek,2017-05-04,buitenland,16,366,,,6,,,,6,21,180,410,1,230,25,51,25,18,36,94,7,23,19,27,27,55,3,,1,,,
teleg_0210,Telegraaf,Van bommenvlieger tot spion,2017-05-05,binnenland,10,1420,,7,1,,,1,9,128,825,1768,8,943,78,198,127,62,138,347,35,225,21,161,109,262,5,6,1,,,1
teleg_0212,Telegraaf,Wrevel om nieuw EU-museum,2017-05-05,buitenland,19,309,Ruud Mikkers,,3,,,,3,25,146,356,1,210,23,41,21,10,48,82,9,14,5,34,22,43,4,,1,,,
teleg_0214,Telegraaf,Grote overwinning voor Conservatieven,2017-05-06,buitenland,16,293,Van onze correspondent,9,,,,2,11,18,149,338,6,189,19,39,16,13,35,82,2,26,5,28,26,44,3,4,,,,2
teleg_0215,Telegraaf,Arrogant,2017-05-06,buitenland,17,452,Frank van Vliet,2,3,,,,5,23,231,530,3,299,43,50,42,28,48,109,6,32,10,47,34,79,2,2,1,,,
teleg_0216,Telegraaf,Belegger spekkoper met Macron,2017-05-06,financieel,45,353,Theo Besteman,2,,,1,,3,27,142,393,3,251,39,36,24,15,27,90,6,20,14,44,27,50,1,2,,,1,
teleg_0217,Telegraaf,Fors NEE tegen Le Pen,2017-05-08,buitenland,12,430,,2,1,,,,3,24,215,521,3,306,25,57,34,24,47,107,17,33,18,55,34,68,2,2,1,,,
teleg_0218,Telegraaf,Brussel leeft nog,2017-05-08,buitenland,12,299,Ruud Mikkers,2,4,,,,6,19,158,350,5,192,25,41,23,14,39,79,1,19,6,30,25,45,3,2,3,,,
teleg_0219,Telegraaf,Minder goed voor Britten,2017-05-08,buitenland,12,164,,2,,,,,2,8,83,186,1,103,18,19,13,9,18,35,1,8,9,20,13,23,,1,,,,
teleg_0220,Telegraaf,Markt niet verrast door uitslag,2017-05-09,financieel,22,325,Dorinde Meuzelaar,,,,1,,1,24,161,383,1,222,28,38,25,15,41,92,19,14,4,36,25,45,1,,,,1,
teleg_0221,Telegraaf,Labour ontwijkt Brexit-debat,2017-05-12,buitenland,17,469,Van onze redactie buitenland,2,,,,1,3,25,234,524,3,290,36,57,43,22,56,110,12,31,9,44,35,68,1,2,,,,1
teleg_0222,Telegraaf,Beleggers rekenenop groei,2017-05-12,financieel,22,694,Theo Besteman,2,,,1,,3,52,275,791,3,516,68,76,64,23,64,190,18,30,19,84,54,92,9,2,,,1,
teleg_0223,Telegraaf,AEX neemt gas terug,2017-05-12,financieel,24,245,Mark Garrelts,,,,,,,17,109,283,0,174,20,36,19,6,37,63,17,5,4,22,18,33,3,,,,,
teleg_0224,Telegraaf,"Brussel, blijf van papadag af",2017-05-13,binnenland,11,882,,11,3,,1,1,16,75,419,1003,10,584,63,116,75,38,87,215,15,70,16,106,65,132,5,7,1,,1,1
teleg_0225,Telegraaf,Generatie-genoten,2017-05-13,reportage,27,273,,,,,,,,26,99,289,0,190,30,23,14,20,15,66,11,14,9,36,23,28,,,,,,
teleg_0226,Telegraaf,Bonusplafond,2017-05-16,financieel,22,500,Jan Maarten Slagter,4,1,,5,1,11,30,220,529,5,309,38,56,36,25,50,111,8,34,9,46,36,76,4,1,1,,2,1
teleg_0227,Telegraaf,Buitenveldert,2017-05-18,regio,2,181,,,,,3,,3,16,95,209,2,114,14,15,19,13,15,36,,21,3,21,14,35,3,,,,2,
teleg_0228,Telegraaf,Brexit treft Britten in portemonnee,2017-05-18,financieel,21,266,Van een onzer verslaggevers,1,,,1,,2,15,115,284,2,169,15,40,12,10,28,71,10,11,3,25,22,34,3,1,,,1,
teleg_0229,Telegraaf,Fors verlies Wall Street,2017-05-18,financieel,24,242,,,,,,,,14,93,263,0,170,20,33,11,8,26,64,16,9,4,25,17,27,3,,,,,
teleg_0230,Telegraaf,QUOTE VAN DE DAG,2017-05-18,financieel,24,11,,,,,,,,1,4,13,0,9,2,1,,,1,3,,,,1,2,3,,,,,,
teleg_0231,Telegraaf,Chinese subsidie voor les Amalia,2017-05-20,journaal,36,386,,5,1,,3,,9,32,159,481,4,322,24,48,19,14,33,113,8,33,19,78,39,53,,2,1,,1,
teleg_0232,Telegraaf,Zorgen om aanbestedingen,2017-05-22,binnenland,9,861,Lise Witteman,5,,,2,,7,46,376,918,5,542,68,101,66,46,72,225,7,60,15,55,70,121,12,3,,,2,
teleg_0233,Telegraaf,Voorsprong May slinkt met de dag,2017-05-22,buitenland,13,410,Van onze correspondent,,,,,,,22,204,454,0,250,23,39,33,23,50,100,15,35,6,32,32,66,,,,,,
teleg_0234,Telegraaf,Verlies May drukt pond,2017-05-27,financieel,39,85,,,,,1,,1,6,37,97,1,60,4,11,,3,12,30,8,4,,9,7,9,,,,,1,
teleg_0235,Telegraaf,Beursweek,2017-05-27,financieel,44,322,,6,,,,,6,26,110,399,4,289,16,41,15,11,27,86,28,12,21,42,55,43,2,4,,,,
teleg_0236,Telegraaf,’Streven naar goede Brexit-deal’,2017-05-27,financieel,45,342,Mark Garrelts,3,1,,1,,5,20,159,385,5,226,32,50,23,12,52,88,6,10,10,26,29,44,3,3,1,,1,
teleg_0237,Telegraaf,Macron keert tij in Brussel,2017-05-31,binnenland,7,495,Ruud Mikkers,8,7,,2,,17,26,247,529,6,282,36,58,41,31,51,118,3,21,9,36,38,84,3,3,2,,1,
teleg_0238,Telegraaf,Conservatieven dreigen meerderheid te verliezen,2017-06-01,buitenland,18,291,Van onze correspondent,1,,,,,1,18,141,321,1,180,22,32,23,14,37,68,8,17,1,29,23,47,,1,,,,
teleg_0239,Telegraaf,Positie Londen onder vuur,2017-06-01,financieel,22,1080,Dorinde Meuzelaar,5,8,,7,14,34,91,498,1248,9,750,86,131,97,51,98,291,26,60,28,124,87,167,2,3,3,,1,2
teleg_0240,Telegraaf,Amsterdam heeft last van bonusplafond,2017-06-01,financieel,23,392,Van een onzer,2,1,,9,3,15,42,200,465,5,265,26,45,47,22,31,100,11,34,3,49,31,66,,2,1,,1,1
teleg_0241,Telegraaf,Europese Unie kijkt naar het Verre Oosten,2017-06-02,buitenland,16,326,Ruud Mikkers,10,5,,,,15,19,146,365,5,219,32,42,21,22,38,87,,19,1,28,26,46,3,2,3,,,
teleg_0242,Telegraaf,Geloofwaardig,2017-06-03,buitenland,17,452,Frank van Vliet,,1,,,,1,24,238,511,1,273,33,45,50,30,39,98,2,44,13,36,34,85,2,,1,,,
teleg_0243,Telegraaf,Pond gaat mee met May,2017-06-06,financieel,21,593,Dorinde Meuzelaar,,,,1,1,2,41,273,705,2,432,41,80,56,27,74,161,28,16,9,70,50,84,9,,,,1,1
teleg_0244,Telegraaf,Britten kopen minder auto’s,2017-06-06,financieel,21,81,,,,,1,,1,5,33,95,1,62,3,9,3,1,15,21,5,3,6,10,6,12,1,,,,1,
teleg_0245,Telegraaf,Flets imago speelt Britse Liberaal Democraten parten,2017-06-07,buitenland,19,373,,2,,,,2,4,22,181,415,3,234,32,53,26,14,45,82,3,26,21,24,27,62,,2,,,,1
teleg_0246,Telegraaf,Salonsocialist Corbynwonderlijk fenomeen,2017-06-08,buitenland,18,355,,,,,,1,1,23,166,377,1,211,32,47,21,12,38,79,5,31,5,30,27,46,4,,,,,1
teleg_0247,Telegraaf,Tot op het bot verdeeld,2017-06-08,buitenland,18,77,Joost van Mierlo,,,,,,,4,24,71,0,47,7,3,7,5,5,16,,3,3,4,6,12,,,,,,
teleg_0248,Telegraaf,IJskoningin May pas laat achter Brexit,2017-06-08,buitenland,18,357,,1,,,,,1,22,171,392,1,221,29,36,24,23,35,81,2,35,3,35,25,62,2,1,,,,
teleg_0249,Telegraaf,Huzarenstukje,2017-06-08,buitenland,19,337,,1,,,,,1,22,158,374,1,216,30,48,19,12,43,81,7,23,7,33,25,42,4,1,,,,
teleg_0250,Telegraaf,Na oliebonanza komt grote cultuuromslag,2017-06-08,financieel,22,1095,,6,,,,5,11,64,526,1252,4,726,83,147,92,34,141,300,50,55,8,106,83,143,10,3,,,,1
teleg_0251,Telegraaf,Onzekerheid blijft,2017-06-08,financieel,25,130,,,,,,,,7,61,148,0,87,8,14,7,6,25,37,2,3,1,10,10,23,2,,,,,
teleg_0252,Telegraaf,Pond onderuit na Britse exit-poll,2017-06-09,financieel,21,252,Theo Besteman,1,1,,1,,3,17,111,283,3,172,16,29,23,12,32,62,17,6,6,24,20,31,5,1,1,,1,
teleg_0254,Telegraaf,EU vreest meer chaos na afstraffing May,2017-06-10,buitenland,16,527,Ruud Mikkers,1,7,,,1,9,29,268,601,3,333,45,75,49,22,64,122,10,28,6,50,39,86,5,1,1,,,1
teleg_0255,Telegraaf,Waar ging het mis voor May?,2017-06-10,buitenland,16,96,,,,,,,,7,50,114,0,64,5,9,10,3,11,22,3,10,1,11,8,21,,,,,,
teleg_0256,Telegraaf,Wat betekent dit voor de Brexit?,2017-06-10,buitenland,16,101,,1,,,,,1,7,57,121,1,64,14,11,11,4,17,23,1,7,,10,7,16,,1,,,,
teleg_0257,Telegraaf,Vijf vragen over de verkiezingen,2017-06-10,buitenland,16,39,,,,,,,,2,19,44,0,25,1,4,3,2,6,13,1,3,2,2,3,4,,,,,,
teleg_0258,Telegraaf,Hoe zit het met de Britse economie?,2017-06-10,buitenland,16,100,,1,,,,,1,6,53,117,1,64,11,9,12,8,13,21,2,7,1,10,8,15,,1,,,,
teleg_0259,Telegraaf,May schiet zichzelf in voet,2017-06-10,buitenland,16,794,Joost van Mierlo,3,,,,2,5,45,375,885,5,510,40,101,50,39,105,206,19,47,24,72,59,119,4,3,,,,2
teleg_0260,Telegraaf,Rust!,2017-06-10,buitenland,17,442,,3,,,,2,5,34,242,537,5,295,28,46,42,22,58,104,5,46,5,59,35,81,6,3,,,,2
teleg_0261,Telegraaf,Uitslag gunstig voor toeristen,2017-06-10,buitenland,17,410,Martijn Klerks,2,1,,1,1,5,24,194,480,5,286,35,52,43,14,49,103,7,29,10,49,38,47,4,2,1,,1,1
teleg_0262,Telegraaf,Weer schrik door Britten,2017-06-10,financieel,37,656,Dorinde Meuzelaar,2,,,1,,3,56,325,769,2,444,53,57,69,26,82,169,23,33,9,73,52,119,4,1,,,1,
teleg_0263,Telegraaf,Topdag AEX na flop May,2017-06-10,financieel,40,243,Johan Wiering,1,,,,,1,19,112,284,1,172,17,30,17,11,32,61,11,16,6,25,18,36,4,1,,,,
teleg_0264,Telegraaf,Afscheid Theresa May slechts een kwestie van tijd,2017-06-12,buitenland,13,327,Joost van Mierlo,2,,,,1,3,22,138,358,3,220,19,27,20,13,32,84,4,28,9,33,26,61,2,2,,,,1
teleg_0265,Telegraaf,Theresa May verliest steun voor ’harde’ Brexit,2017-06-13,buitenland,19,356,Van onze correspondent,,,,,2,2,23,151,379,2,228,24,44,23,13,36,84,3,24,7,32,28,56,5,,,,,2
teleg_0266,Telegraaf,"Groei piekt dit jaar tot 2,5%",2017-06-13,financieel,22,662,oor Dorinde Meuzelaar,5,,,1,,6,57,337,792,3,455,43,82,74,34,69,156,43,45,5,75,58,107,1,2,,,1,
teleg_0267,Telegraaf,QUOTE VAN DE DAG,2017-06-13,financieel,24,11,,,,,,,,1,3,11,0,8,3,1,,,1,2,,,,1,,3,,,,,,
teleg_0268,Telegraaf,Steun voor Eberhard,2017-06-16,journaal,20,673,,5,1,,6,,12,49,299,829,8,530,49,73,56,26,56,179,5,47,43,98,85,108,4,4,1,,3,
teleg_0269,Telegraaf,Brexitgesprek toch van start,2017-06-16,financieel,21,56,,1,,,,,1,3,26,65,1,39,4,8,,3,9,14,5,4,1,6,5,5,1,1,,,,
teleg_0270,Telegraaf,Bank of England oefent geduld,2017-06-16,financieel,24,219,,,,,,1,1,15,104,244,1,140,21,23,16,9,31,59,4,8,2,20,17,34,,,,,,1
teleg_0271,Telegraaf,’Wij gaan meer overnames doen’,2017-06-16,financieel,27,1042,en Jasper Meeuwissen,11,1,,1,,13,105,511,1232,6,721,64,109,97,68,86,269,36,81,24,120,91,180,7,4,1,,1,
teleg_0272,Telegraaf,Harde Brexit zit er niet in,2017-06-17,binnenland,11,867,Hans Wiegel,7,1,,,2,10,82,442,1043,8,601,64,95,84,37,90,215,18,88,25,133,59,131,4,5,1,,,2
teleg_0273,Telegraaf,Britten strompelen naar Brexit-onderhandelingen,2017-06-19,buitenland,13,355,Joost van Mierlo,,,,,2,2,21,161,394,1,233,22,37,29,16,35,80,7,32,11,31,29,60,5,,,,,1
teleg_0274,Telegraaf,Koel,2017-06-20,binnenland,2,219,,2,2,,,,4,12,101,228,3,127,25,28,6,9,32,52,2,11,3,15,16,29,,2,1,,,
teleg_0275,Telegraaf,Nette scheiding,2017-06-20,buitenland,18,602,Ruud Mikkers,20,6,,1,1,28,25,308,707,22,399,53,80,51,37,67,166,11,37,7,64,46,82,6,18,2,,1,1
teleg_0276,Telegraaf,EU-landen vechten om Britse buit,2017-06-21,binnenland,5,349,Ruud Mikkers,6,6,,1,1,14,19,162,386,11,224,17,41,30,14,43,88,6,16,3,37,27,59,5,3,6,,1,1
teleg_0279,Telegraaf,’EU-hoedje’ voer voor speculaties,2017-06-22,buitenland,16,221,Van onze redactie buitenland,,,,,3,3,14,102,266,2,164,20,35,19,7,28,58,2,6,14,28,17,28,4,,,,,2
teleg_0280,Telegraaf,Nederbritten speelbal van de brexit,2017-06-23,binnenland,12,885,,10,3,,,2,15,76,428,1063,6,635,73,84,84,42,84,223,21,91,19,107,71,156,8,4,1,,,1
teleg_0282,Telegraaf,Crisissfeer bezworen,2017-06-23,buitenland,18,491,Ruud Mikkers,20,3,,2,1,26,32,236,575,21,339,43,49,50,24,50,135,4,30,9,56,40,81,4,16,3,,1,1
teleg_0283,Telegraaf,QUOTE VAN DE DAG,2017-06-23,financieel,24,10,,,,,,,,1,3,10,0,7,,1,1,,,5,,,,1,,2,,,,,,
